barcode,timestamp,picture_1_warp,picture_1_quality,picture_2_warp,picture_2_quality,picture_3_warp,picture_3_quality,picture_4_warp,picture_4_quality,final_warp,final_quality,status
1234567890,2025-08-27T12:06:13.944983,False,unknown,False,unknown,False,unknown,False,unknown,False,medium,completed
9876543210,2025-08-21T13:47:46.317733,True,bad,False,good,False,good,False,good,False,good,completed
5678901234,2025-08-21T14:09:22.134036,True,bad,True,bad,False,medium,True,bad,True,bad,completed
3456789012,,,,,,,,,,,,pending
7890123456,,,,,,,,,,,,pending
2345678901,,,,,,,,,,,,pending
6789012345,,,,,,,,,,,,pending
4567890123,,,,,,,,,,,,pending
8901234567,,,,,,,,,,,,pending
1357924680,,,,,,,,,,,,pending
9999999999,2025-08-21T14:37:13.848741,True,good,True,medium,True,good,True,good,True,good,completed
3482902424,2025-08-21T16:24:16.262365,True,medium,True,medium,True,medium,True,bad,True,medium,completed
5283365822,2025-08-22T14:35:36.863822,True,good,True,good,True,good,True,good,True,good,completed
1599736190,2025-08-25T13:29:38.044569,True,good,True,good,True,medium,True,good,True,good,completed
329291973,2025-08-27T12:04:24.004168,True,bad,True,bad,True,bad,True,bad,True,bad,completed
7436478175,2025-08-27T12:06:40.914743,False,unknown,False,unknown,False,unknown,False,unknown,False,medium,completed
3651818736,2025-08-27T12:07:38.877335,False,unknown,False,unknown,False,unknown,False,unknown,False,medium,completed
7361416293,2025-08-27T15:04:11.011088,False,unknown,False,unknown,False,unknown,False,unknown,False,medium,completed
9596327745,2025-08-28T15:50:35.099082,False,unknown,False,unknown,False,unknown,False,unknown,False,medium,completed
